no,w,t1,t2,t19,country,gender,age,q1,q1a_1,q1a_2,q1a_3,q1a_4,q1a_5,q1a_6,q1a_7,q1a_8,q1a_9,q1a_10,q1a_11,q1a_12,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q4,q5,q6,q6a_1,q6a_2,q6a_3,q6a_4,q6a_5,q7,q8a,q8b,q8c,q8d,q8e,q9_0_1,q9_1_1,q9_2_1,q9_3_1,q10,q10a,q11,n12,q13,q13a_1_1,q13a_1_2,q13a,n14,n14a_1_1,n14a_2_1,n14b_1_1,n14b_1_2,q15,q15a_1_1,q15a_1_2,q15b,q15c_1,q15c_2,q15c_3,q15c_4,q151,q151a,q16,q16a,q17,q17a,q18,q18a_1,q18a_2,q18a_3,q18a_4,q18b,q19,q19a,q19b_1,q19b_3,q19b_4,q20a,q20b,q20c,q20d,q20e,q20f,q20g,q21a_1,q21a_2,q21b_1,q21b_2,q21c_1,q21c_2,q21d_1,q21d_2,q21e_1,q21e_2,q21f_1,q21f_2,q21g_1,q21g_2,q21h_1,q21h_2,q22,q22a,q22b_1,q22b_2,q22b_3,q22b_4,q22b_5,q22b_6,q22b_7,q22b_8,q22c,q22d,q23,q23a,q24_1,q24_2,q24_3,q25,q25a_1,q25a_2,q25a_3,q25a_4,q25a_5,q25a_6,q25a_7,q25a_8,q26_1,q26_2,q26_3,q26_4,q26_5,q26_6,q26_7
B0616569,63.562276997754,6,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,3,2,1,0,0,0,0,3,2,2,1,1,1,20300,18000,1800,500,1, ,1,1,1,2,0,2,2,7,22,4,0,2,1,10,1,0,0,0,0,1, ,1,1,1,3,1,1,0,0,0,1,1, ,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B0616574,62.6507858522534,6,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,4,2,1,0,0,0,0,3,2,3,1,1,2,18701,17000,1701,0,1, ,1,1,2, , ,0,2,7,20,2,10,2,1,10,1,0,0,0,0,1, ,1,5,1,2,1,1,1,0,0,1,1, ,0,0,0,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,2,0,1,1,0,1,0,0,0,1,1,2, ,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
B0616576,62.6507858522534,6,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,3,2,3,2,1,1,21657,18393,2264,1000,1, ,1,1,2, , ,0,2,6.5,19,5,30,2,1,10,1,0,0,0,0,1, ,1,1,3, ,1,1,0,0,0,1,1, ,0,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,2,1,1,0,1,1,1,1,0,2,4,2, ,1,0,0,2,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0
B0616578,63.562276997754,6,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,4,2,1,0,0,0,1,3,2,2,1,1,1,18701,17000,1701,0,1, ,1,1,1,.4,0,.4,2,8,18,2,50,2,1,10,1,0,0,0,0,2,1,1,5,1,1,1,1,0,0,0,1,1, ,0,0,0,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B0616580,62.6507858522534,6,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,3,2,3,1,1,1,19768,17000,2268,500,1, ,1,1,2, , ,0,2,5,21,2,0,3, , ,1,1,0,0,0,1, ,2, ,2, ,1,1,0,0,0,1,1, ,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,1,1,1,0,0,2,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1
B0616582,63.562276997754,6,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,5,5,2,0,1,0,1,0,3,2,2,2,1,1,19268,17000,2268,0,1, ,1,2,2, , ,0,2,0,24,8,0,3, , ,1,0,1,0,0,1, ,2, ,1,2,1,1,1,0,0,1,1, ,0,0,0,2,3,2,3,3,3,3,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0
B0616589,63.562276997754,6,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,3,1,0,0,0,0,0,3,2,2,1,1,2,20835,17000,2835,1000,1, ,1,1,2, , ,0,2,7,22,5,0,3, , ,1,1,0,0,0,1, ,1,1,2, ,1,1,1,0,0,1,1, ,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
B0616590,63.562276997754,6,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,1,1,0,1,0,3,2,2,2,1,1,20335,17000,2835,500,1, ,1,1,2, , ,0,1,7,19,3,0,3, , ,1,1,1,0,0,1, ,2, ,2, ,1,1,0,0,0,1,2,1,1,0,0,2,1,2,2,1,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0
B0616592,62.6507858522534,6,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,4,2,1,0,0,0,0,3,2,3,1,1,1,20900,18000,2400,500,1, ,1,1,2, , ,0,2,6,20,1,30,3, , ,1,1,0,0,0,1, ,2, ,3, ,1,1,0,0,0,2,1, ,0,0,0,1,2,2,2,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,1,0,1,1,1,0,0,1,1,1,0,0,0,0
B0616596,63.562276997754,6,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,5,5,1,0,0,0,0,0,3,2,2,2,1,1,31972,23800,3172,5000,1, ,2,1,1,2,0,2,1,7,20,2,10,3, , ,1,1,0,0,0,1, ,2, ,2, ,1,1,0,0,0,2,1, ,0,0,0,2,2,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,2,0,0,0,1,0,0,0,0,1,4,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0
B0616602,62.6507858522534,6,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,4,2,1,0,0,0,0,3,2,3,2,1,1,22268,17000,2268,3000,1, ,2,1,2, , ,0,2,7,20,2,10,3, , ,1,0,1,1,0,2,1,1,5,1,2,1,1,0,0,0,1,2,1,1,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,0,2,1,2, ,0,0,1,2,1,0,0,1,1,1,0,0,1,1,0,0,1,0,0
B0616603,62.6507858522534,6,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,3,2,3,2,1,2,19835,17000,2835,0,2,1,1,1,1,2,0,2,2,7,22,4,0,3, , ,1,1,0,0,0,1, ,1,1,1,3,1,1,1,0,0,1,1, ,0,0,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0
B0616607,62.6507858522534,6,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,5,5,2,1,0,1,0,0,3,2,3,1,1,1,19835,17000,2835,0,2,1,1,1,1,6,0,6,2,7,20,6,0,2,1,10,1,0,0,0,0,2,1,1,1,1,2,1,1,1,0,0,1,1, ,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
B0616609,63.562276997754,6,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,5,1,0,0,0,0,0,3,2,2,1,1,1,19268,17000,2268,0,1, ,1,1,2, , ,0,2,6,18,3,0,2,1,10,1,0,0,0,0,1, ,1,5,1,2,1,1,1,0,0,2,1, ,0,0,0,3,2,3,3,2,3,3,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,4,2,2, ,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
B0616611,62.6507858522534,6,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,3,2,3,2,1,1,18701,17000,1701,0,1, ,1,1,2, , ,0,2,9,21,4,30,2,1,10,1,0,0,0,0,2,1,1,1,3, ,1,1,1,0,0,1,1, ,0,0,0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
B0616612,62.6507858522534,6,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,3,2,3,1,1,1,18701,17000,1701,0,2,1,1,1,1,2,0,2,2,9,21,3,30,2,1,10,1,0,0,0,0,1, ,2, ,3, ,1,1,0,0,0,1,1, ,0,0,0,2,3,3,3,1,4,3,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
B0616613,62.6507858522534,6,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,3,1,0,0,0,0,0,3,2,3,1,1,1,19835,17000,2835,0,3,1,1,1,2, , ,0,2,7,21,5,0,3, , ,1,1,0,0,0,1, ,1,1,1,2,1,1,1,0,0,2,1, ,0,0,0,3,2,1,3,1,1,2,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,4,2,1,1,0,0,1,2,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0
B0616617,63.562276997754,6,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,1,0,0,0,0,3,2,2,1,1,2,20900,18000,2400,500,1, ,1,1,2, , ,0,1,7,22,2,30,3, , ,1,0,1,0,1,1, ,1,1,1,2,1,1,0,0,0,1,1, ,0,0,0,3,2,2,3,2,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B0616619,62.6507858522534,6,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,0,0,1,0,0,3,2,3,1,1,1,20900,18000,2400,500,3,1,1,1,1,2,30,2.5,1,7,19,2,0,3, , ,1,1,0,1,0,2,1,1,1,3, ,1,1,1,0,0,1,1, ,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,0,1,0,0,0,0,0,2,4,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B0616620,63.562276997754,6,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,3,2,1,0,1,0,0,3,2,2,1,1,2,20900,18000,2400,500,2,1,1,1,2, , ,0,2,10,20,2.5,0,3, , ,1,0,1,0,0,1, ,2, ,2, ,1,1,0,0,0,1,1, ,0,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0
B0616622,62.6507858522534,6,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,3,2,0,0,1,0,0,3,2,3,1,1,1,19768,17000,2268,500,1, ,1,1,1,0,30,.5,2,8,17,2,0,3, , ,1,0,1,0,0,1, ,1,1,1,2,1,1,0,0,0,1,1, ,0,0,0,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,0,1,1,1,1,0,3,2,1,2,1,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1
B0616624,63.562276997754,6,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,2,1,0,0,0,0,3,2,2,1,1,2,19000,17000,2000,0,1, ,2,1,1,8,0,8,1,7,18,1,0,2,3,10,1,0,0,0,0,1, ,1,1,2, ,1,1,0,0,0,2,1, ,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,2,0,0,0,1,1,0,0,0,2,1,1,1,0,0,1,2,1,1,1,1,1,1,0,0,1,0,0,1,0,1,0
B0616625,63.562276997754,6,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,4,1,0,0,0,0,0,3,2,2,1,1,2,19268,17000,2268,0,1, ,1,1,1,4,0,4,1,8,18,3,0,2,1,11,1,0,0,0,0,1, ,1,1,1,1,1,1,0,0,0,1,1, ,0,0,0,3,3,2,3,2,3,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,2,0,0,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
B0616627,65.087783028548,6,3,2,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,3,2,4,1,1,2,20300,18000,1800,500,1, ,1,1,1,2,30,2.5,2,7,20,2,10,2,1,11,1,0,0,0,0,1, ,1,1,1,2,1,0,1,0,0,2,1, ,0,0,0,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,0,1,0,1,1,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
B0616630,63.562276997754,6,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,1,1,0,0,1,0,1,4,2,1,1,0,1,0,3,2,2,1,1,1,19835,17000,2835,0,2,1,1,1,1,3,30,3.5,2,8,22,5,0,2,1,10,1,0,0,0,0,2,1,2, ,3, ,1,1,1,0,0,2,1, ,0,0,0,3,3,2,3,1,3,3,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,3,1,1,1,1,1,1,0,0,1,1,1,1,0,0,1,2,1,0,0,0,1,0,0,0,1,0,0,0,1,1,0
B0616632,62.6507858522534,6,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,4,1,0,0,0,0,0,3,2,3,1,1,1,19268,17000,2268,0,1, ,1,1,2, , ,0,2,7,20,2,10,2,1,11,1,0,0,0,0,2,1,1,1,1,2,1,1,1,0,0,1,1, ,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,2,0,0,0,0,1,0,1,0,2,1,1,1,1,0,0,2,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0
B0616635,62.6507858522534,6,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,3,2,3,1,1,1,19835,17000,2835,0,1, ,1,1,1,2,0,2,1,8,19,4,0,3, , ,1,1,0,1,0,2,1,1,1,1,2,1,1,1,0,0,1,1, ,0,0,0,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0
B0616637,70.1247367476366,6,3,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,4,1,0,0,0,0,0,3,2,1,2,1,2,19268,17000,2268,0,1, ,2,1,1,1,30,1.5,2,7.5,21,1,30,2,1,11,1,0,0,0,0,2,1,1,1,1,1,1,1,0,0,0,2,1, ,0,0,0,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,0,2,1,2, ,1,0,0,2,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0
B0616639,63.562276997754,6,3,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,1,0,0,0,0,3,2,2,1,1,1,18701,17000,1701,0,1, ,1,1,2, , ,0,2,8,22,3,30,2,1,10,1,0,0,0,0,1, ,1,1,2, ,1,1,1,0,0,1,1, ,0,0,0,2,1,1,2,2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,2,0,0,0,1,0,1,0,0,2,4,2, ,0,0,1,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
B0616641,63.562276997754,6,3,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,3,2,1,1,0,0,0,3,2,2,1,1,2,19835,17000,2835,0,1, ,1,1,1,1,30,1.5,1,7,22,6,30,2,2,8,1,0,0,0,0,1, ,1,1,1,1,1,1,1,0,0,2,1, ,0,0,0,2,1,1,2,1,2,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,2,1,1,1,0,0,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
B0616642,62.6507858522534,6,3,1,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,4,1,0,0,0,0,0,3,2,3,1,1,1,19768,17000,2268,500,1, ,2,1,1,2,0,2,2,7,20,2,10,3, , ,1,1,1,0,0,1, ,2, ,3, ,1,1,1,0,0,2,1, ,0,0,0,2,2,2,2,2,2,2,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,2,0,1,0,0,0,1,0,0,2,4,2, ,1,0,0,2,0,0,1,1,0,1,0,0,1,1,0,1,0,0,0
B0616645,70.1247367476366,6,3,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,3,1,0,0,0,0,0,3,2,1,1,1,1,19835,17000,2835,0,4, ,1,1,2, , ,0,2,6,21,2,10,3, , ,1,1,1,0,0,1, ,2, ,2, ,1,1,1,0,0,1,1, ,0,0,0,3,2,2,2,2,3,2,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,1,2,0,1,0,2,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0
B0616649,62.6507858522534,6,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,0,0,3,2,3,1,1,2,23100,21000,2100,0,1, ,1,1,2, , ,0,2,7,20,2,10,2,1,10,1,0,0,0,0,1, ,1,1,3, ,1,0,1,1,0,1,1, ,0,0,0,2,2,2,2,1,2,2,0,1,0,1,1,0,1,0,0,1,0,1,0,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
B0622386,4.24922878505059,6,3,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0,3,1,3,2,2,1,19268,17000,2268,0,1, ,1,1,2, , ,0,2,8,21,3,30,2,3,10,1,0,0,0,0,1, ,1,1,2, ,1,1,1,0,0,1,1, ,0,0,0,2,2,2,2,1,3,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0
B0622388,5.06678130131372,6,3,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,3,1,2,2,2,1,19000,18000,0,1000,1, ,1,1,1,2,0,2,2,6,22,4,30,1,4,8, ,0,0,0,0,1, ,1,1,2, ,1,1,0,0,0,1,1, ,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
B0622389,4.24922878505059,6,3,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,4,1,0,0,0,0,0,3,1,3,2,2,1,19268,17000,2268,0,3,1,1,1,1,10,0,10,1,8,17,1,0,2,1,10,1,0,0,0,0,2,1,1,3,3, ,1,1,1,0,0,2,1, ,0,0,0,1,1,1,1,1,2,2,0,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,2,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
B0622390,5.06678130131372,6,3,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,0,1,0,0,0,3,1,2,1,2,1,18134,17000,1134,0,4, ,1,1,1,9,0,9,1,8,20,3,0,2,2,11,1,0,0,0,0,2,1,1,1,1,2,1,1,0,0,0,1,1, ,0,0,0,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,0,1,1,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0
B0622397,58.0170619268838,6,3,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,3,2,2,3,2,1,19201,17000,1701,500,1, ,1,1,1,3,0,3,2,7,20,2,10,2,1,10,1,0,0,0,0,2,1,1,1,2, ,1,1,1,0,0,1,1, ,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,0,2,4,2, ,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
B0622398,58.0170619268838,6,3,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,0,3,2,2,3,2,1,17500,17000,0,500,1, ,1,1,1,3,0,3,2,7,20,2,10,1,4,12, ,0,0,0,0,1, ,1,1,3, ,1,1,0,0,0,2,1, ,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,2,1,1,0,1,1,0,0,0,2,1,2, ,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
B0622399,48.655695776697,6,3,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,4,1,0,0,0,0,0,3,2,3,2,2,1,19268,17000,2268,0,1, ,1,1,1,0,15,.25,2,6.7,21.3,2,30,3, , ,1,1,0,0,0,1, ,1,5,1,2,1,1,0,1,0,1,1, ,0,0,0,2,2,2,2,2,2,2,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,2,0,0,0,1,0,1,1,0,2,4,2, ,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B0622400,48.655695776697,6,3,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,3,2,3,3,2,1,18701,17000,1701,0,1, ,1,1,2, , ,0,2,8,19,4,30,2,1,10,1,0,0,0,0,2,1,1,1,2, ,1,1,1,0,0,2,1, ,0,0,0,2,2,2,3,1,2,2,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,2,4,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
B0622406,48.655695776697,6,3,1,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,3,2,3,2,2,1,18985,17000,1985,0,1, ,1,1,1,2,30,2.5,2,7,20,2,10,2,2,10,1,0,0,0,0,2,1,1,1,2, ,1,1,1,0,0,1,1, ,0,0,0,2,3,3,2,2,2,2,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,0,1,0,1,0,0,1,0,1,1,2, ,1,0,0,2,0,1,1,1,0,1,0,0,1,0,1,0,1,0,0
