no,w,county,q1,q1a_1,q1a_2,q1a_3,q1a_4,q1a_5,q1a_6,q1a_7,q1a_8,q1a_9,q2,q2a_1,q2a_2,q2a_3,q2a_4,q2a_5,q2a_6,q2a_7,q2a_8,q2a_9,q2a_10,q2a_11,q3_1,q3_2,q3_3,q3_4,q3_5,q3_6,q4,q5,q6,q6a_1,q6a_2,q6a_3,q6a_4,q6a_5,q7,q8a,q8b,q8c,q8d,q8e,q9,q9a,q10,q11,q11a_1,q11a_2,q11a_3,q12,q12a2,q12b,q12c_1,q12c_2,q12c_3,q12c_4,q121,q121a,q13,q13a_1,q13a_2,q14,q14a_1,q14a_2,q14b_1,q14b_2,q15,q15a,q16,q16a,q17,q17a_1,q17a_2,q17a_3,q17a_4,q17a_5,q17b_1,q17b_2,q17b_3,q18,q18a,q18b_1,q18b_2,q18b_3,q18b_4,q18b_5,q18b_6,q18b_7,q18b_8,q19a,q19b,q19c,q19d,q19e,q19f,q19g,q20,q20a,q20b_1,q20b_2,q20b_3,q20b_4,q20b_5,q20b_6,q20b_7,q20b_8,q20c,q20d,q21,q21a,q22_1,q22_2,q22_3,q23,q23a_1,q23a_2,q23a_3,q23a_4,q23a_5,q23a_6,q24_1,q24_2,q24_3,q24_4,q24_5,q24_6,q24_7,q25,q25b,q25ba,q25baa,q25baao,q25bb
326163,89.10597169,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,2,1,0,0,0,0,1,2,4,1,4,1,1, ,1,20000,17000,3000,0,2,12,1,0,0,0,0,1, ,1,1,30,1,7,11,2,0,1,2,1,2,1,1,0,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,3,2,2,2,2,1,3,0,1,1,1,0,0,0,0,1,2,2, ,0,1,0,2,0,1,1,1,0,0,0,1,1,0,1,0,0,1, , , , , 
326210,60.59329969,11,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,2,3,2,1,0,0,0,0,1,2,3,1,2,1,1, ,2,19000,17000,2000,0,3, ,1,1,0,1,0,2,1,1,3,0,1,7,6,2,50,1,1,1,1,1,1,0,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,4,4,3,4,3,3,4,1,1,1,0,0,0,1,1,0,0,4,4,1,2,0,0,1,2,1,0,1,1,0,0,1,1,0,0,1,0,0,1, , , , , 
326519,2.19691635,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,2,3,2,3,1,3,1,1,27000,27000,0,0,1,20, ,0,0,0,0,1, ,1,12,0,2,8,8,2,0,1,1,1,2,1,1,1,1,1,0,1,0,0,2,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,1,0,2,0,1,1,1,0,0,0,0,1,1,0,1,0,1, , , , , 
326736,49.35827225,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,1,0,0,0,0,1,2,1,2,1,1,1, ,1,20000,17000,2268,732,3, ,1,1,0,1,0,2,1,1,0,20,2,6.5,8,2,0,2, ,1,1,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,1,4,1,0,1,1,0,0,0,0,1,4,2, ,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,1,1, , , , , 
326746,5.785990972,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,0,0,0,0,0,1,1,3,2,2,1,1, ,2,21000,17000,2800,1200,2,12,1,0,0,0,0,2,1,1,8,0,2,6.5,10,3,0,2, ,3, ,1,1,0,1,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,3,3,2,3,2,3,3,1,1,0,0,1,0,1,0,1,0,1,2,2, ,0,0,1,2,1,0,0,1,0,0,1,1,1,0,0,0,0,1, , , , , 
326784,55.19346646,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,1,0,0,0,0,1,2,2,1,1,1,1, ,1,19268,17000,2268,0,3, ,1,1,0,0,0,1, ,1,0,30,2,7.5,10.5,2,0,1,1,2, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,1,1, , , , , 
326793,49.29277608,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,2,1,0,0,0,0,0,1,2,2,2,1,1,1, ,1,19000,17000,2000,0,3, ,1,1,0,0,0,1, ,1,2,6,2,8,8,3,30,1,2,1,1,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,3,2,2,3,2,3,2,1,1,1,0,1,0,0,0,1,0,2,4,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1, , , 
326912,53.04284481,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,2,1,1,0,0,0,1,2,2,1,1,1,1, ,1,25132,23132,0,2000,1,4, ,0,0,0,0,1, ,1,0,32,1,8,9,6,0,1,1,2, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,1,3,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,1,1,0,0,0,1,1,1,0,0,0,0,1, , , , , 
326925,49.29277608,5,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,2,0,1,0,0,0,1,2,2,1,1,2,1, ,1,18701,17000,1701,0,2,12,1,0,0,0,0,2,1,1,0,30,2,8,9,2,0,2, ,1,2,1,1,0,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,3,3,2,3,2,3,2,1,1,1,0,1,0,0,0,1,0,2,1,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1, , , , , 
326941,52.1642261,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,0,1,2,3,2,1,1,1, ,1,20000,17000,3000,0,3, ,1,1,1,0,0,1, ,2, , ,2,7,7,4,0,2, ,3, ,1,1,0,1,1,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,3,2,2,2,1,3,0,1,0,1,1,0,0,0,3,2,2, ,1,0,0,2,0,1,1,1,0,0,0,0,1,1,1,0,0,1, , , , , 
326969,51.02196324,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,1,0,0,0,0,0,1,2,2,2,1,1,1, ,1,20000,17000,3000,0,3, ,1,0,1,1,0,2,1,1,1,0,1,8,7,1,0,2, ,2, ,1,1,0,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,4,4,3,3,3,3,4,1,3,1,0,1,1,0,0,0,0,2,1,2, ,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
327078,55.06425765,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,1,0,0,0,0,0,1,2,3,1,1,1,1, ,1,19268,17000,2268,0,2,11,1,0,0,0,0,2,1,2, , ,2,7,8,2,40,1,1,2, ,1,1,0,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1, , , , , 
327081,2.29412233,18,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,2,4,1,3,2,2,1,2,27776,25250,2526,0,2,12,1,0,0,0,0,2,1,2, , ,1,7,7,2,30,1,1,3, ,1,1,0,1,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,3,0,0,1,1,1,0,0,0,2,4,2, ,1,0,0,2,0,1,1,1,0,0,1,1,1,0,0,0,0,1, , , , , 
327103,66.8929563,1,2,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,4,3,2,1,1, ,1,18701,17000,1701,0,2,11,1,0,0,0,0,1, ,2, , ,1,7,8,2,50,1,1,1,2,1,1,0,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,2,3,1,1,0,1,0,1,0,1,0,0,1,1,2, ,0,0,1,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1, , , , , 
327122,51.02196324,6,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,2,2,2,1,0,0,0,0,2,2,2,1,1,2,2,1,1,19268,17000,2268,0,2,11,1,0,0,0,0,2,1,2, , ,1,7,8,2,50,1,2,1,1,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,3,5,4,3,3,4,4,1,3,1,0,1,0,0,1,0,0,3,4,2, ,0,0,1,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1, , , , , 
327137,53.35511631,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,0,1,2,2,1,1,1,1, ,1,24000,21000,3000,0,2,15,1,0,0,0,0,1, ,1,3,0,2,8.5,8.5,3,30,1,1,3, ,1,1,1,1,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,3,2,4,3,3,2,2,1,1,0,1,0,1,1,0,0,0,2,1,2, ,1,0,0,2,0,0,0,1,0,0,0,0,1,1,1,0,0,1, , , , , 
327357,51.91834965,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,4,1,0,0,0,0,0,1,2,3,2,1,1,1, ,1,19268,17000,2268,0,2,12,1,0,0,0,0,1, ,1,10,0,2,6,7,6,0,2, ,3, ,1,1,0,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,3,2,3,2,3,3,1,1,0,1,1,0,1,0,0,0,1,1,2, ,1,0,0,2,0,1,1,1,0,0,1,1,1,0,0,0,0,1, , , , , 
327450,52.91867064,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,2,3,1,1,1,1, ,1,20898,18630,2268,0,3, ,1,0,0,1,0,2,1,2, , ,2,7,6,3,0,1,1,2, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,3,5,2,3,2,5,3,1,1,1,0,1,1,0,0,0,0,2,1,2, ,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,2,2, , , ,2
327536,53.36167925,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,2,1,0,0,0,0,1,2,4,1,1,2,1, ,1,23510,18010,3000,2500,2,10,1,0,0,0,0,2,1,2, , ,2,6,7,5,30,2, ,3, ,1,1,0,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,1,3,1,0,1,1,0,0,0,0,2,1,1,2,0,0,1,2,1,1,0,0,1,0,1,1,0,1,0,0,0,1, , , , , 
327617,52.91867064,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,3,2,0,1,0,0,0,1,2,3,1,1,1,1, ,1,19835,17000,2835,0,3, ,1,1,0,1,0,2,1,2, , ,2,7,8,2,30,1,1,1,2,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
327745,53.83029914,1,2,1,1,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,2,2,1,0,1,0,0,1,2,2,1,1,2,1, ,1,24268,21500,2268,500,2,20,1,0,0,0,0,1, ,1,6,0,2,10,8,2,50,1,4,1,1,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,4,5,4,4,2,3,3,1,1,1,0,1,1,0,0,0,0,2,1,1,2,1,0,0,2,0,1,0,1,0,1,0,0,0,0,0,0,1,1, , , , , 
327937,51.53225604,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3,2,2,2,1, ,1,19268,17000,2268,0,3, ,1,0,1,1,0,2,1,1,0,30,2,7,8,0,30,1,1,3, ,1,1,0,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,3,3,2,3,2,1,2,1,3,1,0,1,1,0,0,0,0,2,3,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
328130,53.70428152,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,1,0,0,0,0,1,2,3,1,1,1,1, ,2,19000,17000,2000,0,2,12,1,0,0,0,0,1, ,1,4,30,2,7,10,3,0,2, ,3, ,1,1,1,1,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,3,3,3,3,2,4,2,1,3,1,0,1,1,0,0,0,0,2,2,2, ,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
328196,53.70428152,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,2,2,2,0,1,0,0,0,1,2,3,2,1,1,2,1,1,23000,20232,2268,500,2,10,1,0,0,0,0,1, ,1,1,0,2,9,10,2.5,0,1,1,1,2,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,3,3,2,3,2,3,1,1,1,0,1,1,0,0,0,0,2,1,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
328231,53.70428152,1,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,3,1,0,0,0,0,0,1,2,3,1,1,1,1, ,1,21892,17000,2268,2624,3, ,1,0,0,1,0,2,1,1,3,30,2,8.5,7,3,30,1,3,1,1,1,1,1,1,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,2,2,3,3,2,2,2,1,1,0,1,1,0,0,0,0,0,1,4,2, ,1,1,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,1, , , , , 
328255,54.30636857,16,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,1,0,0,0,0,1,2,4,2,2,1,1, ,1,20000,17000,2268,732,2,10,1,0,0,0,0,2,1,1,6,0,2,7,5,3,0,1,2,1,2,1,1,0,0,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,3,2,3,3,3,2,2,1,3,1,0,1,1,0,0,0,0,2,2,2, ,0,0,1,2,1,0,1,1,0,0,1,1,1,0,0,0,0,1, , , , , 
328309,53.70428152,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,2,3,1,1,1,1, ,1,20000,17000,3000,0,3, ,1,1,0,0,0,1, ,2, , ,2,7,7,3,0,1,1,3, ,1,1,0,0,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,2,2,3,2,3,2,2,1,3,1,0,1,0,0,1,0,0,1,2,1,2,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,2,2, , , ,1
328371,51.91834965,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3,1,1,2,1, ,1,20000,17000,3000,0,2,8,1,0,0,0,0,1, ,1,1,0,1,8,8,2,0,2, ,3, ,1,1,1,0,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,2,3,3,3,2,2,2,1,1,1,0,0,0,0,0,0,0,2,1,2, ,0,1,0,2,0,1,0,0,0,0,0,1,1,0,1,0,0,2,3, , , , 
328497,54.71297952,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,2,4,1,1,1,1, ,3,19500,17000,1500,1000,3, ,1,1,0,0,0,1, ,2, , ,2,6,8,2,30,1,1,2, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,3,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,1, , , , , 
328754,50.90251998,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,3,2,1,0,0,0,0,0,1,2,3,1,1,1,3,1,2,19000,17000,2000,0,3, ,1,1,1,1,0,2,1,2, , ,2,7,8,4,0,1,2,1,2,1,1,1,1,1,0,1,0,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,0,0,1,1,2, ,1,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,1,1, , , , , 
328931,51.91834965,9,1,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,2,3,1,1,2,1, ,1,22268,19500,2268,500,3, ,1,1,1,0,0,1, ,2, , ,1,7,7,3,0,2, ,2, ,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,3,3,4,3,3,3,3,1,1,1,0,1,1,0,0,0,0,1,1,2, ,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,1, , , , , 
328932,53.83029914,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4,2,1,0,0,0,0,0,1,2,2,2,1,1,1, ,3,20000,17000,3000,0,3, ,1,1,0,0,0,1, ,2, , ,2,7,7,3,30,1,4,2, ,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,3,2,3,2,1,2,1,3,1,0,1,0,1,0,0,0,1,1,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
329117,5.691813804,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,2,1,0,0,0,0,0,1,1,3,1,2,1,1, ,1,29000,25000,2000,2000,2,10,1,0,0,0,0,1, ,1,1,0,2,7,7,1,0,2, ,2, ,1,1,0,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,1,2,2,2,1,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,1, , , , , 
329263,51.02196324,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,4,4,1,0,0,0,0,0,1,2,2,1,1,1,1, ,1,20000,17000,3000,0,2,15,1,0,0,0,0,1, ,1,5,0,2,7,10,3,0,1,4,3, ,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,3,2,3,2,3,2,1,1,1,1,1,0,0,0,0,0,2,1,2, ,1,0,0,2,0,1,1,1,0,0,1,0,0,1,1,0,0,1, , , , , 
329512,53.16766164,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,0,0,0,0,0,1,2,4,1,1,1,1, ,1,19268,17000,2268,0,3, ,1,1,0,0,0,1, ,2, , ,2,6,6,3,30,1,2,1,1,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,1,3,2,1,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,1,1,0,0,0,1,0,1, , , , , 
329923,8.096727993,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,2,4,1,3,2,1, ,1,25200,25200,0,0,1,12, ,0,0,0,0,1, ,1,8,0,2,8,8,2,50,1,1,3, ,1,1,0,1,1,0,1,0,0,1, ,0,0,0,0,0,0,0,0,3,1,1,2,1,1,1,1,3,1,0,1,0,1,0,0,0,2,1,2, ,1,0,0,2,0,1,1,1,0,0,1,0,1,0,0,1,0,1, , , , , 
330102,55.06425765,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,2,1,0,0,0,0,1,2,3,2,1,2,1, ,2,19835,17000,2835,0,2,11,1,0,0,0,0,1, ,2, , ,2,8,9,2,0,2, ,1,2,1,1,0,1,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,0,1,1,0,0,1,1,0,1,0,0,0,1, , , , , 
330152,53.83029914,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,2,0,1,0,0,0,1,2,2,2,1,1,1, ,1,18701,17000,1701,0,2,12,1,0,0,0,0,1, ,2, , ,2,7,8,2,50,1,2,1,1,1,1,0,0,0,0,1,0,0,1, ,0,0,0,0,0,0,0,0,2,3,3,3,2,3,2,1,3,0,0,0,0,0,1,0,0,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1, , , , , 
330356,51.02196324,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,2,1,2,1,0,0,0,0,3,2,2,1,1,1,2,1,1,19268,17000,2268,0,3, ,1,1,0,0,0,1, ,2, , ,2,7.5,10,2,30,1,1,2, ,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,3,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,1,2,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1, , , , , 
330778,59.75663106,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,2,3,2,2,1,1, ,1,20134,17000,1134,2000,2,13,1,0,0,0,0,1, ,1,0,52,2,6,7,4,30,1,1,2, ,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,3,3,3,3,2,3,1,1,0,0,1,1,0,1,0,0,3,1,2, ,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1, , , , , 
331101,54.93715506,11,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,2,3,1,1,1,1, ,1,19268,17000,2268,0,3, ,1,1,0,0,0,1, ,1,0,15,2,5.5,9,2,0,2, ,2, ,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,1,1, , , , , 
331273,52.28662996,7,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2,1,0,0,0,0,0,1,2,2,1,1,1,1, ,1,18000,17000,1000,0,3, ,1,1,0,0,0,1, ,2, , ,2,8,8,4,30,1,2,1,1,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,2,3,1,3,1,0,1,1,0,0,0,0,1,2,1,2,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1, , , , , 
331368,53.2302111,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,2,3,1,1,1,1, ,1,20000,17000,3000,0,3, ,1,1,0,1,0,2,1,1,1,0,2,5,9,1,0,1,1,2, ,1,1,0,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,1,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1, , , , , 
331474,74.97268399,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,2,4,2,4,1,1, ,1,19500,17000,2268,232,3, ,1,1,0,0,0,1, ,1,1,0,2,6.5,7.75,2.5,0,2, ,2, ,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1, , , , , 
331497,55.06425765,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,3,2,1,0,1,0,0,1,2,3,1,1,2,2,1,2,30000,22000,3000,5000,2,8,1,0,0,0,0,1, ,2, , ,2,5,8.5,2.5,30,1,3,1,2,1,1,1,1,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,1,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1, , , , , 
331887,52.18705664,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,1,0,0,0,0,0,1,2,3,2,1,1,1, ,1,21000,17000,3000,1000,3, ,1,1,0,0,0,1, ,1,1,0,2,7,9,1,0,2, ,3, ,1,1,1,1,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2, ,0,0,0,0,0,0,0,0, , ,2, ,1,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,2,2, , , ,2
331910,53.35511631,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,3,2,1,0,0,0,0,0,2,2,2,1,1,1,3,1,1,19268,17000,2268,0,2,12,1,0,0,0,0,2,1,2, , ,1,7,8,3,0,2, ,3, ,1,1,0,0,0,0,0,1,0,1, ,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,1,3,1,0,1,1,0,0,0,0,2,1,2, ,0,0,1,2,1,1,0,1,0,0,1,0,0,0,0,0,0,1, , , , , 
332018,55.06425765,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,2,1,0,0,0,0,0,1,2,3,2,1,1,1, ,1,19268,17000,2268,0,3, ,1,1,0,0,0,1, ,1,0,10,2,5,6,2,0,2, ,3, ,1,1,1,0,0,0,1,1,0,1, ,0,0,0,0,0,0,0,0,1,2,2,2,1,2,1,2, ,0,0,0,0,0,0,0,0, , ,2, ,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,2,3, , , , 
